가구원수,가구주연령,소득,소득분위
1.96,69.09,2034456,4
1.95,69.1,2069558,4
1.93,69.36,2088083,4
1.92,69.47,2002950,4
1.89,69.61,1929523,3
1.91,69.68,1993931,3
1.89,69.87,2006136,3
1.89,69.86,1961034,3
1.84,69.94,1979448,3
1.84,70.08,2017294,3
1.87,70.18,2123418,4
1.89,70.24,2065565,4
1.84,70.14,2140315,4
1.84,70.15,2123242,4
1.83,70.22,2118898,4
1.85,70.26,2199075,4
1.83,70.24,2114292,4
1.85,70.35,2146789,4
1.84,70.39,2175787,4
1.83,70.29,2148144,4
1.78,70.57,2148846,4
1.78,70.55,2168160,4
1.78,70.69,2179303,4
1.78,70.67,2223356,4
1.8,70.74,2175894,4
1.82,70.76,2264133,4
1.83,70.8,2386059,4
1.85,70.7,2357983,4
1.85,70.68,2401991,4
1.85,70.7,2465707,4
1.84,71,2528590,4
1.85,70.98,2533777,4
